city,N,dist,improver,strategy,cf,sl_var,acceptance,constructor,overflows,kg,ncol,kg_lost,km,kgkm,reward,profit,time,days
Rio Maior,170,Empirical,FTSP,LM,CF70,,bmc,PSOMA,4.0,13825.825,1280.0,8.075000000000001,3436.4019999999996,4.023343310823356,10385.423,4633.7320525000005,1102.4468532270002,18
Rio Maior,170,Empirical,FTSP,LM,CF70,,new,SANS,6.0,14043.375,2396.0,13.3,4512.496999999999,3.1121073321489194,9524.878,3684.6209875000004,1122.131572844999,18
Rio Maior,170,Empirical,FTSP,LM,CF70,,gurobi,SWC-TCF,4.0,13639.625,1506.0,2.85,3929.6070000000004,3.4709895925979364,9706.018,4031.842112500001,1069.8300580719988,17
Rio Maior,170,Empirical,FTSP,LM,CF90,,custom,ACO_HH,9.0,13149.900000000001,1204.0,43.7,2852.835,4.609414845232901,10288.065000000002,4822.76163,281.0685882689977,13
Rio Maior,170,Empirical,FTSP,LM,CF90,,custom_bmc,ALNS,8.0,13257.25,1265.0,22.325,2849.9579999999996,4.651735218554099,10399.292000000001,4888.298825000001,751.1739353000012,12
Rio Maior,170,Empirical,FTSP,LM,CF90,,custom,BPC,9.0,13253.45,1257.0,35.15,2631.3730000000005,5.036705172546803,10613.077000000001,5104.665765,469.48815188700246,12
Rio Maior,170,Empirical,FTSP,LM,CF90,,custom_oi,HGS,12.0,13918.45,1205.0,65.55000000000001,3022.3989999999994,4.605100120798082,10884.051000000001,5101.800265000001,1218.5995012910025,15
Rio Maior,170,Empirical,FTSP,LM,CF90,,custom,PG-CLNS,8.0,13268.175,1316.0,22.325,2814.2019999999998,4.714720194214914,10445.973,4930.4317475,1052.464930361999,12
Rio Maior,170,Empirical,FTSP,LM,CF90,,bmc,PSOMA,8.0,13101.925000000001,1155.0,27.549999999999997,2591.548,5.055636631079186,10502.377,5056.045622500001,753.8249427039991,12
Rio Maior,170,Empirical,FTSP,LM,CF90,,new,SANS,9.0,13268.65,1876.0,34.2,3360.859999999999,3.9479924781157214,9898.79,4384.051005,751.549774141,12
Rio Maior,170,Empirical,FTSP,LM,CF90,,gurobi,SWC-TCF,8.0,13278.625,1282.0,22.325,3005.8120000000004,4.417649872979414,10264.813,4744.921412500001,757.489528741,12
Rio Maior,170,Empirical,CLS,SL,,SL1,custom,ACO_HH,5.0,13251.55,1448.0,12.350000000000001,3175.9049999999997,4.172527200908088,10070.645,4559.024734999999,440.7322908119968,21
Rio Maior,170,Empirical,CLS,SL,,SL1,custom_bmc,ALNS,4.0,13617.775,1511.0,1.425,3152.0350000000003,4.320312115823587,10461.74,4796.6602674999995,1149.8661917919999,19
Rio Maior,170,Empirical,CLS,SL,,SL1,custom,BPC,3.0,13926.05,1542.0,5.2250000000000005,3257.387000000001,4.275221212585423,10665.662999999999,4871.248384999999,675.5480708190007,20
Rio Maior,170,Empirical,CLS,SL,,SL1,custom_oi,HGS,8.0,13990.175,1268.0,9.025,2698.069,5.185254713648909,11284.106,5467.9961475,1837.704408343001,15
Rio Maior,170,Empirical,CLS,SL,,SL1,custom,PG-CLNS,4.0,13611.599999999999,1597.0,1.425,3046.5739999999996,4.467838299676949,10561.025999999998,4898.516919999999,1545.095051892,18
