city,N,dist,improver,strategy,cf,sl_var,constructor,overflows,kg,ncol,kg_lost,km,kgkm,reward,profit,time,days
Rio Maior,100,Gamma-3,FTSP,SL,,SL2,PG-CLNS,1.0,58949.68425587381,8177.0,0.0,13606.496000000001,4.332466217303398,45342.188255873814,20802.434700153564,5812.150248213991,90
Rio Maior,100,Gamma-3,FTSP,SL,,SL2,PSOMA,1.0,58957.40819146026,7745.0,0.0,13654.074,4.3179353057161,45302.33419146026,20759.36516135535,2349.7505102649884,90
Rio Maior,170,Empirical,CLS,LA,,,BPC,27.0,40982.524999999994,3856.0,126.35000000000001,7069.691999999999,5.796932171868308,33885.833,16851.807842500002,1238.0882678310008,35
Rio Maior,170,Empirical,CLS,LA,,,PG-CLNS,27.0,40987.75,4000.0,126.35000000000001,6832.6,5.998851096215203,34128.15,17091.949675,3110.8118951450015,35
Rio Maior,170,Empirical,FTSP,LA,,,ACO_HH,27.0,40967.325,3731.0,128.72500000000002,8285.107,4.944694739609277,32655.217999999997,15627.5206025,1045.2921138609963,35
Rio Maior,170,Empirical,FTSP,LA,,,BPC,27.0,40982.524999999994,3856.0,126.35000000000001,8343.863000000001,4.911696776421183,32611.661999999993,15577.636842500004,1410.2796794140013,35
Rio Maior,170,Empirical,FTSP,LA,,,SWC-TCF,27.0,40993.924999999996,3832.0,126.35000000000001,8902.78,4.604620691514335,32064.144999999997,15025.3740225,2246.6572888350056,35
Rio Maior,170,Empirical,CLS,LM,CF70,,BPC,14.0,40827.674999999996,4284.0,37.050000000000004,8515.590999999999,4.794461711465476,32298.083999999995,15315.5228975,1688.6291417640023,49
Rio Maior,170,Empirical,CLS,LM,CF70,,HGS,17.0,40960.2,3946.0,46.075,8946.987000000001,4.578099867586707,31996.212999999996,14961.481740000001,3796.2936795200076,54
Rio Maior,170,Empirical,CLS,LM,CF70,,PG-CLNS,13.0,41029.549999999996,4474.0,30.400000000000006,8161.398999999998,5.027269221857675,32855.151,15787.549334999998,3369.4824087250017,46
Rio Maior,170,Empirical,CLS,LM,CF90,,BPC,28.0,40928.375,3730.0,146.775,6799.764,6.019087574215811,34100.611,17090.128487499995,1162.8589318669983,34
Rio Maior,170,Empirical,CLS,LM,CF90,,HGS,36.0,40652.399999999994,3390.0,171.0,7181.131999999999,5.661001635953775,33435.268,16547.673879999995,2993.9712807100004,42
Rio Maior,170,Empirical,CLS,LM,CF90,,PG-CLNS,27.0,40947.375,3880.0,133.95,6560.672000000001,6.241338539710565,34359.703,17340.3107875,2539.6668927120045,34
Rio Maior,170,Empirical,FTSP,LM,CF70,,BPC,14.0,40827.674999999996,4284.0,37.050000000000004,9941.234000000004,4.106902121004292,30872.44099999999,13889.8798975,1771.5521602380031,49
Rio Maior,170,Empirical,FTSP,LM,CF90,,BPC,28.0,40928.375,3730.0,146.775,7734.630000000001,5.291575033324153,33165.744999999995,16155.262487500006,1241.5594520239974,34
Rio Maior,170,Empirical,CLS,SL,,SL1,ACO_HH,12.0,40893.7,4083.0,30.4,8776.018,4.6597101327732,32105.681999999997,15093.634689999999,770.5981878009916,53
Rio Maior,170,Empirical,CLS,SL,,SL1,BPC,13.0,40828.15,4288.0,36.575,8545.054000000002,4.777986189437772,32270.095999999998,15286.337155,1622.2899092099979,49
Rio Maior,170,Empirical,CLS,SL,,SL1,PG-CLNS,14.0,41022.424999999996,4562.0,40.375,8314.587000000003,4.933789856309156,32693.837999999992,15630.202472499997,3389.1371526639996,48
Rio Maior,170,Empirical,CLS,SL,,SL1,SANS,12.0,40663.325,6677.0,28.025,10914.445000000002,3.7256429438235283,29736.879999999997,12820.737802499998,3090.011841651998,51
Rio Maior,170,Empirical,CLS,SL,,SL2,ACO_HH,7.0,41444.225,5464.0,5.2250000000000005,12538.654000000002,3.3053169024362576,28898.570999999996,11652.3401325,1184.5703299339948,84
Rio Maior,170,Empirical,CLS,SL,,SL2,BPC,7.0,41047.59999999999,5573.0,5.2250000000000005,12377.224000000004,3.3163817670262716,28663.37599999999,11582.260120000003,2721.26640478801,84
Rio Maior,170,Empirical,CLS,SL,,SL2,PG-CLNS,7.0,41106.024999999994,5930.0,5.2250000000000005,12283.445,3.3464573659913808,28815.579999999994,11710.141792500002,5484.009381406009,80
Rio Maior,170,Empirical,CLS,SL,,SL2,SANS,8.0,41118.37499999999,7709.0,7.125000000000001,14934.540999999997,2.753239955616982,26175.833999999995,9066.254487500002,5013.667643358,83
Rio Maior,170,Empirical,FTSP,SL,,SL1,ACO_HH,13.0,40897.5,4075.0,26.6,9982.649000000001,4.096858459112405,30901.851,13889.221750000004,739.0020891770109,52
Rio Maior,170,Empirical,FTSP,SL,,SL1,BPC,13.0,40828.15,4288.0,36.575,9820.518,4.157433446993326,30994.632,14010.873155,1743.074172075998,49
Rio Maior,170,Empirical,FTSP,SL,,SL1,PG-CLNS,14.0,41022.424999999996,4565.0,40.375,10499.356000000002,3.9071372567993685,30509.068999999996,13445.4334725,3560.187422121002,48
Rio Maior,170,Empirical,FTSP,SL,,SL1,PSOMA,14.0,40903.675,3889.0,48.45,10188.754,4.0145904985045275,30700.921000000002,13686.721097500003,2871.376962426002,51
Rio Maior,170,Empirical,FTSP,SL,,SL2,ACO_HH,7.0,41444.225,5423.0,5.2250000000000005,14869.399999999994,2.7872156912854598,26567.825000000004,9321.594132500006,1253.377507096011,84
Rio Maior,170,Empirical,FTSP,SL,,SL2,BPC,7.0,41047.59999999999,5573.0,5.2250000000000005,14710.346999999996,2.7903896488641635,26330.252999999997,9249.13712,2824.3783843349956,84
