n_bins,dist,run,policy_slug,n_days,overflows,kg,ncol,kg_lost,km,kg_per_km,reward,profit,time,days,policy,run_label
100,gamma3,la_ftsp,lookahead_pg_clns_custom_ftsp,30,4.0,19433.392841129047,1449.0,27.240932315534142,2421.3250000000003,8.02593325601852,17008.067841129046,8921.946401367026,967.7298605039978,15.0,pg_clns,Lookahead+FTSP
100,gamma3,la_ftsp,lookahead_psoma_bmc_ftsp,30,4.0,19448.248614891403,1445.0,27.240932315534142,2446.9230000000002,7.948042752016063,16997.325614891404,8905.019716512114,359.1374357309978,15.0,psoma,Lookahead+FTSP
100,gamma3,la_ftsp,lookahead_sans_new_ftsp,30,4.0,19448.248614891403,1500.0,27.240932315534142,2522.201,7.710824242354754,16922.047614891402,8829.741716512113,933.4465868439984,15.0,sans_new,Lookahead+FTSP
100,gamma3,la_ftsp,lookahead_swc_tcf_gurobi_ftsp,30,4.0,19446.65890422652,1480.0,27.240932315534142,2486.445,7.821069399977284,16956.21390422652,8864.56980239702,194.86050833300033,15.0,swc_tcf,Lookahead+FTSP
100,gamma3,lm_ftsp,last_minute_cf70_aco_hh_custom_ftsp,30,4.0,19432.142737193833,1596.0,27.240932315534142,2649.0419999999995,7.3355359172084995,16779.100737193832,8693.49971570004,276.431676704,17.0,aco_hh,Last-Minute+FTSP
100,gamma3,lm_ftsp,last_minute_cf70_alns_custom_bmc_ftsp,30,4.0,19433.392841129047,1627.0,27.240932315534142,2686.5519999999997,7.233581498191381,16742.840841129047,8656.719401367027,1058.1713590660002,17.0,alns,Last-Minute+FTSP
100,gamma3,lm_ftsp,last_minute_cf70_bpc_custom_ftsp,30,4.0,19433.392841129047,1609.0,27.240932315534142,2670.741,7.27640487831993,16758.651841129045,8672.530401367027,494.5049155000015,17.0,bpc,Last-Minute+FTSP
100,gamma3,lm_ftsp,last_minute_cf70_hgs_custom_oi_ftsp,30,4.0,19430.41804824746,1437.0,27.861946641659536,2404.008,8.08250972885592,17022.41004824746,8937.527014762041,1295.9184871559992,15.0,hgs,Last-Minute+FTSP
100,gamma3,lm_ftsp,last_minute_cf70_pg_clns_custom_ftsp,30,4.0,19433.392841129047,1621.0,27.240932315534142,2685.648,7.236016351036713,16743.744841129046,8657.623401367026,1133.216667902001,17.0,pg_clns,Last-Minute+FTSP
100,gamma3,lm_ftsp,last_minute_cf70_psoma_bmc_ftsp,30,4.0,19448.248614891403,1597.0,27.240932315534142,2747.8710000000005,7.077569731217877,16696.377614891404,8604.071716512113,575.6468912749988,17.0,psoma,Last-Minute+FTSP
100,gamma3,lm_ftsp,last_minute_cf70_sans_new_ftsp,30,4.0,19448.248614891403,1699.0,27.240932315534142,2869.9149999999995,6.77659394612433,16574.333614891402,8482.027716512113,1059.9256768449995,17.0,sans_new,Last-Minute+FTSP
100,gamma3,lm_ftsp,last_minute_cf70_swc_tcf_gurobi_ftsp,30,4.0,19448.248614891403,1665.0,27.240932315534142,2808.176,6.925580382031399,16636.072614891404,8543.766716512115,268.92150121099985,17.0,swc_tcf,Last-Minute+FTSP
100,gamma3,lm_ftsp,last_minute_cf90_alns_custom_bmc_ftsp,30,12.0,18180.07972261314,1181.0,100.28828233661793,1958.6060000000002,9.282152573112274,16209.47372261314,8653.10653408929,748.148988064997,12.0,alns,Last-Minute+FTSP
100,gamma3,lm_ftsp,last_minute_cf90_bpc_custom_ftsp,30,12.0,18180.07972261314,1173.0,100.28828233661793,1961.6120000000003,9.267928480562485,16206.467722613139,8650.10053408929,349.489998219,12.0,bpc,Last-Minute+FTSP
100,gamma3,lm_ftsp,last_minute_cf90_hgs_custom_oi_ftsp,30,28.0,18085.25579174951,1073.0,164.37795838268667,1803.3060000000003,10.02894450068347,16253.94979174951,8753.057805644188,993.255374782002,11.0,hgs,Last-Minute+FTSP
100,gamma3,lm_ftsp,last_minute_cf90_pg_clns_custom_ftsp,30,12.0,18179.191328715475,1179.0,100.28828233661793,1964.7870000000003,9.252499802123829,16202.404328715475,8646.40697857122,790.215927346002,12.0,pg_clns,Last-Minute+FTSP
100,gamma3,lm_ftsp,last_minute_cf90_psoma_bmc_ftsp,30,12.0,18180.07972261314,1183.0,100.28828233661793,2016.9880000000005,9.013479367558526,16151.091722613139,8594.724534089288,452.0811842539988,12.0,psoma,Last-Minute+FTSP
100,gamma3,lm_ftsp,last_minute_cf90_sans_new_ftsp,30,12.0,18180.07972261314,1200.0,100.28828233661793,2001.9410000000003,9.081226530958274,16166.13872261314,8609.771534089288,749.1643883629986,12.0,sans_new,Last-Minute+FTSP
100,gamma3,lm_ftsp,last_minute_cf90_swc_tcf_gurobi_ftsp,30,12.0,18179.191328715475,1194.0,100.28828233661793,2006.7080000000005,9.059211070427521,16160.483328715474,8604.485978571221,160.05422205799914,12.0,swc_tcf,Last-Minute+FTSP
100,gamma3,sl_ftsp,service_level1_aco_hh_custom_ftsp,30,2.0,19439.011883522762,1833.0,5.262289588266499,3153.122,6.165004679020591,16283.889883522763,8193.429236412238,289.0683554089992,21.0,aco_hh,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level1_alns_custom_bmc_ftsp,30,2.0,19453.958068067575,1882.0,5.262289588266499,3131.08,6.2131782222324485,16320.878068067575,8224.195324331045,1248.9563832979984,20.0,alns,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level1_bpc_custom_ftsp,30,2.0,19454.193502769314,1866.0,5.262289588266499,3086.0330000000004,6.303948630092196,16366.160502769315,8269.379747566447,591.0758652650002,20.0,bpc,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level1_hgs_custom_oi_ftsp,30,3.0,19453.269113774564,1523.0,5.95124388128348,2537.8720000000003,7.665189226948625,16912.397113774565,8817.001181710213,1381.3677877240007,16.0,hgs,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level1_pg_clns_custom_ftsp,30,2.0,19453.958068067575,1888.0,5.262289588266499,3133.9559999999997,6.207476450871543,16318.002068067575,8221.319324331045,1377.684724122999,20.0,pg_clns,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level1_psoma_bmc_ftsp,30,2.0,19470.227257618677,1828.0,5.262289588266499,3183.756,6.115489772965855,16284.471257618678,8181.01565027202,727.569674593,20.0,psoma,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level1_sans_new_ftsp,30,2.0,19470.227257618677,1998.0,5.262289588266499,3380.7379999999994,5.759164791125098,16087.489257618678,7984.033650272022,1248.872557384002,20.0,sans_new,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level1_swc_tcf_gurobi_ftsp,30,2.0,19470.227257618677,1946.0,5.262289588266499,3277.9629999999993,5.939733687542746,16190.264257618677,8086.80865027202,430.2397368810016,20.0,swc_tcf,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level2_aco_hh_custom_ftsp,30,1.0,19449.601011848637,2640.0,0.0,4508.762,4.313734238322768,14939.839011848639,6843.970110616049,405.2491797090006,30.0,aco_hh,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level2_alns_custom_bmc_ftsp,30,1.0,19447.311112911433,2723.0,0.0,4489.800000000001,4.331442628382429,14956.511112911432,6861.595496606404,1868.1277688360024,30.0,alns,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level2_bpc_custom_ftsp,30,1.0,19440.613787632577,2681.0,0.0,4420.7789999999995,4.397553867233033,15018.834787632579,6926.707267841139,869.8694606260033,30.0,bpc,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level2_hgs_custom_oi_ftsp,30,1.0,19442.77726174713,2694.0,0.0,4473.641999999999,4.346073570872934,14968.135261747131,6875.1070876817985,2071.694467060999,30.0,hgs,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level2_pg_clns_custom_ftsp,30,1.0,19445.128632976917,2724.0,0.0,4513.467,4.308246550374007,14930.661632976917,6836.654583068626,2036.138280957999,30.0,pg_clns,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level2_psoma_bmc_ftsp,30,1.0,19440.301169997885,2591.0,0.0,4563.566,4.2598926300173785,14875.735169997886,6783.737792927765,943.0916758719977,30.0,psoma,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level2_sans_new_ftsp,30,1.0,19475.489547206944,2999.0,0.0,5049.923999999997,3.8565906233850162,14424.565547206947,6317.91924870469,1871.9780571789997,30.0,sans_new,Service-Level+FTSP
100,gamma3,sl_ftsp,service_level2_swc_tcf_gurobi_ftsp,30,1.0,19471.596725291787,2887.0,0.0,4804.251000000001,4.052993218982893,14666.345725291787,6561.320008552813,685.2062849649992,30.0,swc_tcf,Service-Level+FTSP
170,emp,la_ftsp,lookahead_aco_hh_custom_ftsp,30,4.0,13253.925,1311.0,7.125000000000001,3024.1689999999994,4.382666775567107,10225.756,4712.1470225,209.29280185399693,14.0,aco_hh,Lookahead+FTSP
170,emp,la_ftsp,lookahead_alns_custom_bmc_ftsp,30,4.0,13280.525000000001,1402.0,1.9000000000000001,3264.795,4.067797518680346,10011.730000000001,4487.047442499999,877.9855723300025,14.0,alns,Lookahead+FTSP
170,emp,la_ftsp,lookahead_bpc_custom_ftsp,30,4.0,13287.175,1388.0,1.9000000000000001,3168.179,4.193947059178158,10114.996,4587.5450475,512.4591364000007,14.0,bpc,Lookahead+FTSP
170,emp,la_ftsp,lookahead_hgs_custom_oi_ftsp,30,6.0,13271.025,1167.0,14.725000000000001,3115.8819999999996,4.259155192654921,10149.143,4630.415292500001,976.0326176710005,14.0,hgs,Lookahead+FTSP
170,emp,la_ftsp,lookahead_pg_clns_custom_ftsp,30,4.0,13284.8,1453.0,1.9000000000000001,3207.3800000000006,4.141947633270768,10073.419999999998,4546.95776,1028.343770419,14.0,pg_clns,Lookahead+FTSP
170,emp,la_ftsp,lookahead_psoma_bmc_ftsp,30,5.0,13215.45,1293.0,2.85,3090.7669999999994,4.275783324980499,10119.683,4623.091165,879.357283125999,14.0,psoma,Lookahead+FTSP
170,emp,la_ftsp,lookahead_sans_new_ftsp,30,4.0,13300.95,2051.0,1.9000000000000001,3792.831999999999,3.506865054924659,9504.118000000002,3970.932515000001,880.101856401001,14.0,sans_new,Lookahead+FTSP
170,emp,la_ftsp,lookahead_swc_tcf_gurobi_ftsp,30,4.0,13300.95,1374.0,1.9000000000000001,3412.1069999999995,3.8981632170386225,9884.843,4351.657515000001,880.1604828700001,14.0,swc_tcf,Lookahead+FTSP
170,emp,lm_ftsp,last_minute_cf70_aco_hh_custom_ftsp,30,4.0,13425.875,1462.0,10.450000000000001,4104.6050000000005,3.270929845868238,9317.27,3732.078237500001,461.86976563999997,22.0,aco_hh,Last-Minute+FTSP
170,emp,lm_ftsp,last_minute_cf70_alns_custom_bmc_ftsp,30,4.0,13583.099999999999,1521.0,8.075000000000001,3609.4769999999994,3.763176770485032,9969.623,4318.978470000001,1064.3646967889981,17.0,alns,Last-Minute+FTSP
170,emp,lm_ftsp,last_minute_cf70_bpc_custom_ftsp,30,6.0,13955.025,1514.0,11.400000000000002,3674.757000000001,3.797536816720125,10274.267999999998,4470.791092500001,633.0052564700018,19.0,bpc,Last-Minute+FTSP
170,emp,lm_ftsp,last_minute_cf70_hgs_custom_oi_ftsp,30,9.0,13978.775,1251.0,13.774999999999999,3327.118,4.201466554537591,10642.657,4832.2929675,1584.617673146,16.0,hgs,Last-Minute+FTSP
170,emp,lm_ftsp,last_minute_cf70_pg_clns_custom_ftsp,30,4.0,13609.225,1566.0,2.85,3715.5609999999997,3.6627645192744787,9889.664,4228.1436324999995,1395.2785758619975,17.0,pg_clns,Last-Minute+FTSP
170,emp,lm_ftsp,last_minute_cf70_psoma_bmc_ftsp,30,5.0,13884.724999999999,1444.0,4.75,3669.5309999999995,3.7837873559318616,10210.194,4434.982982500001,1237.3170845409986,20.0,psoma,Last-Minute+FTSP
170,emp,lm_ftsp,last_minute_cf70_sans_new_ftsp,30,6.0,14043.375,2396.0,13.3,4528.016,3.101441116815842,9509.359,3669.1019875,1122.4446272120003,18.0,sans_new,Last-Minute+FTSP
170,emp,lm_ftsp,last_minute_cf70_swc_tcf_gurobi_ftsp,30,4.0,13639.625,1507.0,2.85,3904.198000000001,3.4935792190867363,9731.427,4057.251112499999,1077.1731839390013,17.0,swc_tcf,Last-Minute+FTSP
170,emp,lm_ftsp,last_minute_cf90_alns_custom_bmc_ftsp,30,8.0,13257.25,1265.0,22.325,2849.9579999999996,4.651735218554099,10399.292000000001,4888.298825000001,749.7270609340012,12.0,alns,Last-Minute+FTSP
170,emp,lm_ftsp,last_minute_cf90_bpc_custom_ftsp,30,9.0,13253.45,1257.0,35.15,2623.8730000000005,5.051101939766139,10620.577000000001,5112.165765,429.9989377380007,12.0,bpc,Last-Minute+FTSP
